Place,State,Ideal Time to Visit,Ideal duration,Starting Budget,Main Attraction,About,Top Places to Visit
Matheran,Maharashtra    India,Throughout the year,1-2 days, 54 ," ""Cutest little hill-station of India"" "," Nestled amidst the Sahyadri range on the Western Ghats, Matheran is a cosy little hill station that stands at an elevation of 2600 feet above sea level, and is just 100 kilometres away from Mumbai, making it the perfect weekend getaway. With its name literally translating to “overhead forest”, Matheran is the smallest hill station in India but is extremely popular in terms of tourists looking for a short trip amid spectacular vistas and serenity. Matheran is one of the very few places in the world that do not allow any vehicles at all, so the moment you step into this little town, you will be transported back to an idyllic old-world era of red-soiled roads, automobile-free pathways, and lush green hills all around. The cold breeze and the fresh air devoid of pollution is reason enough for tourists to throng to Matheran all year round.As with any other hill station, Matheran is famous for its viewpoints. It has a total of 36 viewpoints from where you can enjoy alluring views of the Sahyadri mountain range. Most of these points have easy trekking trails, and they offer sweeping views of the mountains, the sunrise, sunset, and everything in between. A favourite for trekkers, the actual magic of Matheran is experienced while exploring the region on foot and getting lost in the beauty of the serene town.","Louisa point, Charlotte lake, Monkey Point Matheran, Shivaji's Ladder, Panorama Point, One tree hill point"
Ranthambore,Rajasthan    India,Oct-Apr,1 day," ₹ 5,500"," ""One of the best national parks of the country"" "," This is one of the best tiger reserves of the country, known to have ""friendly"" tigers and chances of sighting one here is reasonably better than many other tiger reserves of India. Along with this Ranthambore has one of the richest flora and fauna making it an absolutely must visit area Nestled in the foothills of Vindhya and Aravali Hills, Ranthambore is famous for its tiger reserves and the variety of flora and fauna found. The Ranthambore National Park, along with the Ranthambore Fort and the surrounding hills and valleys, altogether make Ranthambore a traveller's delight. The place is a boon for wildlife photographers and is perfect for excursions and sightseeing. Safari Rides add to the adventure along with hot Rajasthani picks for shopaholics. With an area of 392 kilometres square, Ranthambore National Park is a natural habitat for a variety of exotic species. It is an absolute delight for birdwatchers and an ideal place to watch animals in their natural habitat. The Ranthambore Fort, built in the 10th century, stands tall over the entire National Park. Built by the Chauhan Dynasty, the Fort is a UNESCO World Heritage Site. Located inside the fort is the majestic temple of Lord Ganesha, the Trinetra Ganesh Temple. Ganesha devotees flock the temple throughout the year. The other two temples are dedicated to Lord Shiva and Ramlalaji respectively. Two Jain temples, devoted to Lord Sumatinath and Lord Sambhavnath are other attractions of the Fort. The Padam lake and the Surwal lake are two among many that are a haven for bird watching. The ideal time to visit these lakes is early morning. Located adjacent to the Padam lake is the Jogi Mahal, a red sandstone marvel. Kachida Valley, famous for locating panthers and bears, along with Raj Bagh Ruins and the surrounding deciduous forests altogether score brownie points for Ranthambore. ","Jeep Safari Ranthambore, Ranthambore Tiger Reserve, Ranthambhore Fort, Padam Lake, Trinetra Ganesh Temple, Kacheeda Valley"
Jim Corbett National Park,Uttarakhand    India,Mid Oct- Mid Jun,1-2 days," ₹ 9,000"," ""Home to the Royal Bengal Tiger"" "," Jim Corbett National Park is the oldest national park set amidst the foothills of the Himalayas in the Nainital district of Uttarakhand. Known for housing the endangered Bengal tiger, Corbett National Park is part of the larger Corbett Tiger Reserve. Famous for its wildlife safaris, Jim Corbett National Park has multiple resorts set on the riverside. Home to more than 650 species of rare and migratory birds, it is a haven for bird watchers. The most popular attraction at Corbett National Park is Dhikala, a forest lodge located on the border of Patil Dun Valley, which is known for the stunning location and rich wildlife.Only 180 vehicles are allowed to enter the national park in a day. Jim Corbett National Park remains closed from July to October during the monsoons. However, Jhirna, Dhela and Sitabani tourism zones remain open for tourists throughout the year. Safaris are organised in all the zones by two shifts by the forest officials in all the zones.The Jim Corbett National Park was established in 1936 as Hailey National Park and is named after Jim Corbett who is a famous hunter and naturalist. It was the first place where Project Tiger was launched in 1973. The park is spread over an area of more than 500 sq km and is divided into 5 zones: Bijrani, Dhikala, Jhirna, Domunda and Sonanandi to promote tourism. ","Jungle Safari in Corbett National Park, Corbett Waterfall, River Rafting in Corbett National Park, Dhikala, Bijrani Zone, Jhirna"
Kasol,Himachal Pradesh    India,October - June,2-3 days," ₹ 6,500",," Kasol is a quaint little village in Himachal situated along the banks of the river Parvati. Commonly known as the 'Amsterdam of India', Kasol is a tourist attraction that is rapidly gaining fame as a popular hub for trekkers, backpackers, and nature lovers. Kasol is situated 23 kms from Bhuntar and next to the religious town of Manikaran and is one of the best places in the country just to sit back and chill in the panorama of snow-clad mountains, pine trees and gurgling river. Kasol is famous for its trekking trails, which include treks to Kheerganga, Yanker Pass, Sar Pass, and Pin Parbati Pass. To get a real feel of the culture in this region, go on a visit to the village of Malana. Located a few kilometres away from Kasol, Malana is a tiny hamlet inhabited by people living in self-imposed isolation. The people of Malana claim themselves to be Aryan descendants, as a result of which they avoid interaction with outsiders. The village has plenty of scenic sights, though, and is often called ‘Little Greece’.Kasol is inhabited by a huge number of people from Israel, which is discernible from the plenteously available Israeli food, and the street signposts inscribed in Hebrew. Kasol has quite a few streetside cafes which serve delicious food, and the experience of sitting and enjoying a meal amidst the dark green forests and the awe-inspiring mountains make the meal even more enjoyable.Kasol has a flea market that sells a variety of items, so you can pick up trinkets, souvenirs, pendants, and even semi-precious stones to take back home for family and friends.","Parvati River, Kheerganga Trek, Manikaran Gurudwara, Rasol, Chalal, Malana"
Agartala,Tripura    India,Throughout the year,1-2 days," ₹ 6,500"," ""Gateway to Tripuran Heritage"" "," Home to the Manikya Kings in the past, Agartala is the perfect mix of natural beauty combined with diverse and rich culture. Agartala is not just all flowers and valleys but also has a cultural richness with the diversity of people that stay here along with the historical and religious monuments. The capital of Tripura manages to create its culture and personality out of the coming together of stories of all those who reside here and give it a hue of their own culture. The most developed city in the state, it is still a far cry from the metros and hence maintains the best of both worlds.","Ujjayanta Palace, Sepahijala Wildlife Sanctuary, Chittangong Hillss, Tripura Sundari Temple, Neermahal, Ummaneshwar Temple"
Khandala,Maharashtra    India,Throughout the year,1-2 days, 532 ," ""Misty Mountains"" "," Khandala is a popular hill station in Maharashtra, perched on the foothills of Sahyadri in the Western Ghats. Khandala provides for a perfect weekend respite for the Mumbai population, with its scenic valleys, grassy hills, serene lakes and misty waterfalls. It is one of the twin hill stations - Lonavala and Khandala. The place immortalized by the popular Bollywood song, ""Aati Kya Khandala"", is a must-visit destination for everyone looking for beautiful nature, pleasant weather and the feeling of mist in the air. The natural beauty of Khandala blooms to its zenith and reveals a magical charm during the monsoons. Its meandering waterfalls and glittering lakes attributes to the majestic look an imposing ambience. The Mumbai-Pune expressway passes through Khandala. Due to this easy accessibility, it is a popular hiking spot from nearby cities. The Duke's Nose peak and Karla Hills are the two popular spots for rock climbing. Located near two more popular tourist hotspots, viz. Lonavala (3 km away) and Karjat (7 km), Khandala is one of the perfect hill retreats for both trekkers and young couples.","Rajmachi Fort, Visapur Fort, Bedsa caves, Lohagad Fort, Tiger's Leap, Duke's Nose"
Kalimpong,West Bengal    India,"Mar-Jun, Sep-Dec",2-3 days," ₹ 11,934",," Kalimpong is a virgin hill station in West Bengal renowned for its panoramic valley views, Buddhists monasteries and churches and Tibetan handicrafts etc. 50 minutes east ofÊDarjeeling, Kalimpong is a hill station on the foothills of Shivalik ranges at an altitude of 1250 m overlooking the Teesta Valley. People say that the area was ruled by Bhutanese kings and was a forward post of the Bhutanese Army till the 19th century. Dotted with ancient Buddhist monasteries, centuries old churches and exquisite revered temples Kalimpong marks the Bhutanese history till it was wrested by British rulers. The Jang Dong Palriffo Brang (Monastery), Thongsa Gompa (Bhutanese Monastery) are some famous places to visit. Also make sure to visit the flower markets famous for its orchids and lovely bright flowers.","Durpin Dara hill, Cactus Nursery, Morgan House, Deolo Hill, Jang Dog Palriffo Brang Gompa, Galingka"
Thanjavur,Tamil Nadu    India,Oct-Mar,1-2 days," ₹ 8,000"," ""City of Temples"" "," Also known as Tanjore or the city of temples, Thanjavur has a lot of cultural value and is known for its famous Tanjore paintings, antiques and handicrafts, textiles and saris , its Carnatic music and musical instruments and of course the temples. Thanjavur enjoys a rich historical heritage and holds a very important position in the moulding of ancient as well modern south Indian civilization. Being of religious importance, this place is a must for all pilgrims. There are many religious places in and around the district. Siva Ganga Garden, Art Gallery, Palace & Saraswathi Mahal Library, Sangeetha Mahal are the main tourist attractions. This is a place where you can constantly witness the magnificent and dynamic cultures of the past and present breathing life into and living in the everyday, giving the area a unique and glorious identity.","Brahadeshwara Temple, Gangaikonda Cholapuram, Shiva Ganga Garden, Vijayanagar Fort, Thanjai Mamani Koil, Alangudi Guru Temple"
Bhubaneswar,Orissa    India,Oct-Mar,1-2 days, 228 ," ""Temple City of India"" "," Bhubaneswar, the temple city of India, once known for its architecture and grand temples, is presently a thriving centre for commerce and business. Bhubaneshwar is an ancient city replete with beautiful historic temples which attract pilgrims and tourists from all over the country. The name of the city literally means Lord of the Universe, rightly reflected in the number of temples here and the religious fervor of its locals. This is now a bustling city where the history is beautifully intertwined with its modern and progressive present. Bhubaneshwar being the centre for religious tourism has a number of majestic temples built centuries ago which have still retained their original over all these years. Among them the Lingaraj temple and the Parasurameswara temple are must-visits and attract tourists for all parts of the country.","Lingaraj Temple, ISKCON Temple, Bhubaneswar, Hirakud Dam, Parasurameswara Temple, Rajarani Temple, Bindu Sarovara"
Ajmer,Rajasthan    India,Oct-Mar,1-2 days," ₹ 5,207"," ""The land of Ajmer Sharif Dargah"" "," Surrounded by Aravali ranges, the city of Ajmer is most famous for the Ajmer Sharif Dargah of saint Muin-ud-din Chishti. Located at a distance of 130 km from Jaipur and 14 kms from Pushkar in Rajasthan, the city is firmly bound by its traditions and culture. Ajmer has a unique charm which lies in the ethos and craftsmanship practised over centuries. Visit Ajmer to witness the exquisite Mughal architecture set in an aura of spirituality. The city is also a renowned religious spot for Jains because of Golden Jain Temple. During the festival of Urs, commemorating the death anniversary of Saint Moinuddin Chishti, believers from across the globe throng the city. A lot of travellers visiting Pushkar stop by Ajmer and make a day trip. Ajmer has also been selected as one of the heritage cities for the HRIDAY (Heritage City Development and Augmentation Yojana) scheme of the Government of India. ","Ajmer Sharif Dargah, Ana Sagar Lake, Adhai Din ka Jhopra, Akbar's Palace, Nareli Jain Temple, Clock Tower, Ajmer"
Aurangabad,Maharashtra    India,Oct-Mar,3-4 days, 97 ," ""Base To Explore Ajanta & Ellora"" "," Aurangabad, which was declared by the Government as the Tourism Capital of Maharashtra back in 2010, is a famous tourist hub which greets its visitors with a richly woven tapestry of sights and sounds. The city got its name for being the erstwhile capital of Mughal Emperor Aurangzeb in the 17th century AD. The town is used as the base to explore the extremely famous caves of Ajanta and Ellora, Daulatabad Fort which is renowned for its strong defence systems, Mausoleums of Aurangzeb and Bibi-Ka-Maqbara famous for its architecture and Grishneshwar Temple, one of the only 12 Shiva Jyotirlingas in India. From UNESCO World Heritage Sites to bustling markets brimming with delicate silk items and exquisite hand-woven garments, Aurangabad promises all tourists an exciting holiday experience. While the city is rapidly heading towards industrial growth and globalisation, it still retains most of its past glory, heritage, charms and traditions.The most famous tourist attraction of Aurangabad is the Ajanta and Ellora Caves. Declared a World Heritage Site by UNESCO, the Ajanta Caves is home to 29 different caves, all of which showcase Buddhist artwork belonging to the period ranging from 200 B.C to 650 A.D. All paintings and sculptures in the caves were constructed painstakingly by Buddhist monks using only simple tools such as chisels and hammers. These paintings and sculptures portray a varied range of stories, starting from the Jataka Tales to intriguing accounts of ancient nymphs and princesses. The Ellora Caves, a little distance away from the Ajanta Caves, houses a total of 34 caves and has sculptures and paintings depicting not one, but three different religions – Hinduism, Buddhism and Jainism. The sheer diversity of the sculptures, the architectural expertise, and the centuries of hard work undertaken by artisans are enough to leave you speechless.The sole remaining example of Mughal architecture in this part of the country, Bibi ka Maqbara is a mausoleum dedicated to Rabia-ul-Daurani, wife of Mughal Emperor Aurangzeb. Designed by the Persian architect Ustad-Ata-Ullah, Bibi ka Maqbara has a structure similar to that of the Taj Mahal, with the main structure bordered by four towering minarets on four sides. The entire building is a sight to behold, and sunrises and sunsets are resplendent, with the rays of the sun beautifully casting the reflection of the mausoleum on the water of the canal in front of the building.Aurangabad is also home to temples such as the Jyothirlinga Grishneshwar temple and the Bhadra Maruti Temple, both of which have legends and myths of their own.Siddharth Garden is a place that all nature lovers will be mesmerized by. A landscaped garden housing a wide variety of sculpted trees and shrubs, the Siddharth Garden is also home to wild creatures such as lions, tigers, leopards, deer, and hyena. Sitting back on the green lawns of the garden and enjoying a beautiful picnic is a very popular tourist activity here.The erstwhile Mughal capital has retained most of its traditional Tughlaq cuisine, with Tandoors and Kebabs being local staples that you will find at almost every roadside eatery.Known for its arts and crafts, and especially its silk, Aurangabad has plenty of markets from where you can buy various local handicrafts, exotic gems, shawls, and of course, the region’s famous paithani silk sarees.","Grishneshwar Temple, Bibi ka Maqbara, The Ajanta caves, Ellora caves, Daulatabad Fort, Aurangabad Caves"
Jammu,Jammu & Kashmir    India,Sep-Mar,1-2 days," ₹ 7,500"," ""City of Temples"" "," Jammu is the southernmost-part of the union territory of Jammu and Kashmir which sits proudly on the magnificent Shivalik mountain ranges. The Winter Capital of Kashmir, Jammu is a holy and peaceful city known for its majestic temples, religious shrines, glittering ""shikhars"", and cultural heritage. Since it is also the starting point to the hugely popular Vaishno Devi Temple and Amarnath Yatra, it is visited by tourists from far and wide.  Nestled against the backdrop of the snow-capped Pir Panjal Mountains, Jammu forms part of the transition between the Himalayan range in the north and the dusty plains of Punjab in the south. The Shivalik hills cut across the area from the east to the west while the rivers Ravi, Tawi and Chenab cut their way through the region. The City of Temples, Jammu houses the famous Maha Kali Temple which is considered second only to the Vaishno Devi Temple. Originally found in 14th Century BC, the area was ruled over by Dogra dynasty in the pre-independence era. Buddhist Stupas dating back to the 2nd century AD is peppered throughout Jammu, speaking volumes of its rich heritage.The eccentricity of Jammu is prevalent is also prevalent in its Dogra cuisine the crown of which is the scrumptious Wazwan (traditional Kashmiri buffet). Jammu is truly a melange of pilgrimage, leisure, natural beauty and heritage.","Bahu Fort, Mubarak Mandi Palace, Mansar Lake, Shivkhori, Raghunath Bazaar, Amar Mahal Museum"
Dehradun,Uttarakhand    India,Throughout the year,1-2 days," ₹ 7,000"," ""Winter Capital of Uttarakhand"" "," Nestled amidst the Doon Valley in the state of Uttarakhand, Dehradun city is a very popular hill station that beckons solo travellers, families and couples alike. Winter Capital of Uttarakhand, it proudly boasts of a scenic backdrop of the Garhwal Himalayas. Dehradun is located at an altitude of 1400 feet above sea level and has a pleasant climate all year round. Regardless of whether you want to explore family-friendly tourist spots, try thrilling adventure activities with your friends, or watch a mesmerizing sunset with your partner amidst the mountains, Dehradun is the answer. As you would expect from a city located in the foothills of the Himalayas, Dehradun abounds in caves, waterfalls and natural springs. One such extremely popular spot is Robber's Cave, which is a natural cave surrounded by hills. Dip your feet in the ice-cold water or walk through it - travellers are free to take their pick, making Robber's Cave one of the most popular picnic and excursion spots in the city. Another popular spot for nature lovers is Lacchiwala, where you can sit and enjoy a relaxing sunset around the man-made lake and the lush greenery around it. Lacchiwala also has arrangements for trekking and birdwatching, if you're up for it.","Robber's Cave, Sahastradhara, Lacchiwalla, Har Ki Dun, Mindrolling Monastery, Tapovan Temple"
Puri,Orissa    India,Jul-Mar,1-2 days, 221 ," ""Rath Yatra and the Beaches"" "," Puri in Odisha is one of the four must-visit pilgrimage sites for Hindus because of Jagannath Temple that forms the part of Char Dham in India. Puri is a beach city located on the coast of Bay of Bengal which is one of the favourites among people of West Bengal for a short trip. Having gained popularity among hippies back in the 1970s due to the legalisation of Bhang, Puri is still a popular destination among backpackers, however, the availability of bhang is now limited. With a plethora of hotels and homestays, the local tourist like to stay near the New Marine Drive and the backpackers prefer to stay near Chakra Tirtha. The Rath Yatra (chariot festival) which takes place during the month of June-July should not be missed if you are planning to visit during this time.Known as the resting place of Lord Shiva, the majestic history and heritage of Puri date back to the 3rd century B. C. Puri, Konark and Bhubaneshwar complete the Golden Triangle of Orissa, with their religious significance and cultural heritage being the centres of tourism in this state. There are a lot of places near Puri that one must visit, like the Chilika lake, Puri beach, Gundicha Ghar and the very famous Sun temple of Konark. Puri is soon turning into an industrial hub with major manufacturing companies coming here. ","Sri Jagannath Puri Temple, Chilika Lake, Puri Beach, Jagannath Rath Yatra, Narendra Tank, Lakshmi Temple"
Cherrapunji,Meghalaya    India,Sep-May,1-2 days," ₹ 6,292"," ""Meghalaya's dew drop"" "," Earlier the wettest place on the Earth, Cherrapunji in Meghalaya, also known as Sohra, is known for its double-decker living root bridge. Located around 50 Kms from Shillong, this sub-divisional town is famous for its rich flora and natural attractions. Although Mawsynram is now the wettest place on earth, Cherrapunji still holds the record for the highest recorded rainfall in a calendar year. Apart from the famous living root bridge, other natural attractions include cave formations such as the Mawsmai Caves and Krem Phyllut. Asia's cleanest village, Mawylyngnong is another famous tourist spot here, where visitors can live and experience the food and culture of the village. The misty valleys and the waterfalls in the region make a long drive through Cherrapunji ideal for those who love road trips. The breathtaking panoramic views of the valley and waterfalls such as the famous Nohkalikai Waterfalls are wonderful experiences to be had during the sunny winter days. For those with a bit of time on their hands, the town of Dawki at the border with Bangladesh offers a wonderful clearwater boating experience in the winter season.","Double Decker Living Root Bridge, Dawki, Mawlynnong, Nohkalikai Waterfalls, Mawsmai Cave, Krem Phyllut"
Bikaner,Rajasthan    India,Oct-Mar,1-2 days," ₹ 12,149"," ""The desert town of 'Camel Festival'"" "," Located in the midst of Thar Desert, Bikaner is a ""cultural paradise and a traveller's haven"". Bikaner with its magnificence in architecture, art and culture is filled with colour, festivity and cultural marvels.The city will mesmerize you with the camels sauntering the beautiful sand dunes, its ancient palaces and forts. Rightly called as one of the three great desert kingdoms of Rajasthan, the dazzling city boasts of old-world charm, opulent havelis and depicts a pleasing bygone era of the Rajputs. Best known as the ""camel country"" for breeding some best-known riding camels, Bikaner also happens to house one of the only two models of the biplane used by the British in World War 1. Sand Dunes and the Desert Safari are among major attractions. Bikaner is also famous for hosting the international Camel festival which draws tourists from the world over. Other attractions here include experiencing delicacies such as Thandai, Bhujias, shopping for the fascinating Ivory and Lacquer items or simply witnessing the immense heritage taking the form of wall paintings and arts and crafts in the area.","Junagarh Fort, Karni Mata Temple, Lallgarh Palace, Rampuriya Haveli, National Research Centre On Camel, Gajner Palace"
Shimoga (Shivamogga),Karnataka    India,Jul-Dec,1-2 days, 11 ," ""A Backpacker's Paradise"" "," With nature in its full bloom, the town of Shimoga has been home to several great dynasties and kingdoms. Packed with several marvels of nature in the form of picturesque landscape, gorgeous waterfalls, mystical temples and lush green surroundings, its raw beauty will leave you absolutely enchanted. The main city of Shimoga District derives its name from the words 'Shiv-Mukha' implying 'Face of Lord Shiva'. Blessed with swaying palms and verdant paddy fields, the place has earned itself a nickname of rice bowl as well as the breadbasket of Karnataka. The four rivers namely Sharavathi, Kumudavath, Tungabhadra and Varada make their way into the city, adding mystical charm to the region. Pleasant weather, beautiful rolling hills, a profusion of areca nuts and an endless list of attractions has made this place a must for enthusiastic vacation makers.","Jog Falls, Dabbe Falls, Kodachadri, Agumbe, Tunga Anicut Dam, Mandagadde Bird Sanctuary"
Hogenakkal,Tamil Nadu    India,Oct-Mar,1 day," ₹ 3,000"," ""The one that will take your breath away"" "," Hogenakkal is a waterfall located in Dharmapuri district of Tamil Nadu where the Kaveri river splits into multiple streams of waterfalls. Located at a distance of 180 km from Bangalore, Hogenakkal has water throughout the year. The carbonite rocks, the coracle (basket boat) rides, freshwater fish, oil massages by locals make it a perfect one day trip or a weekend getaway from Bangalore. Sometimes referred to as the ""Niagara Falls of India,"" it is also known for the medicinal baths. Also known at Marikottayam, Hoge actually means smoke and Kal means rock. Recently, the place has been found to be littered with plastic bags and garbage and the fish market outside the waterfall might stink. Weekends can be crowded. Keep all these points in mind before visiting.","Hogenakkal Falls, Mettur Dam, Melagiri Hills, Boating, Pennagram Village, Theerthamalai Temple"
Gir National Park,Gujarat    India,Jul-MarClosed between 16 June - 15 October,1 day, 50 ," ""The land of Asiatic Lions"" "," Gir National Park and Wildlife Sanctuary is the only remaining home for the Asiatic Lions. Located in Talala Gir in Gujarat, the Sanctuary is a part of Kathiawar- Gir dry deciduous forests ecoregion. Gir National Park is closed from 16 June to 15 October every year and the best time for wildlife spotting is April and May. Gir provides you with the unique experience of visiting a place which almost singularly plays a crucial and defining role in the preservation and sustaining of a certain species. The preservation of these lions was initiated by the Nawab of Junagadh when these were just about to enter the phase of extinction due to hunting. The official count said that there were 411 lions in 2010. Also, there are roughly different 2375 species of fauna here with 38 species of mammals, over 300 species of birds, 37 species of reptiles and over 2000 species of insects. Other important wildlife forms found here are leopard, chausingha, spotted deer, hyena, sambar deer and chinkara.",
Kasauli,Himachal Pradesh    India,Throughout the year,1-2 days," ₹ 8,000"," ""Cozy little hill-station"" "," Located on the way from Chandigarh to Shimla, Kasauli is a hilly cantonment town which makes for an ideal peaceful holiday location, especially for a weekend getaway. Kasauli is a small town in the southwestern part of Himachal in the Solan district and is on the relatively lower edges of Himalayas. Nestled amidst beautiful woody forests of pines (Chir Pine), herbs (Milk Thistle) and cedar trees, Kasauli owes its mystical and serene ambience to the lavish Victorian buildings built by the Britishers who resided here years back. These structures speak volumes of the glorious past of this hill station. Mainly known for its accessibility from Chandigarh and Delhi (it located just 65 km away from Chandigarh), Kasauli is not about particular attractions or activities, but about the serene environment and beautiful properties to stay. Kasauli is also a major attraction for trekkers and campers.","Monkey Point Kasauli, Mall Road, Kasauli, Sunset Point Kasauli, Timber Trail, Gurudwara Shri Guru Nanakji, Baptist Church"
Pushkar,Rajasthan    India,Oct-Mar,1-2 days," ₹ 6,300"," ""The Only Dedicated Brahma Temple and the Mesmerising Cattle Fair"" "," Pushkar, a small temple town, is located around 15 km from Ajmer in Rajasthan. Every November, Pushkar is host to the Pushkar Mela, one of the biggest camel fairs in the country. Perfect choice for a weekend getaway from Jaipur, Pushkar is located amid Aravali ranges. Known for the world's only dedicated Brahma temple, Pushkar is primarily a pilgrimage site for Hindus. Spend some evenings sitting at the ghats while sipping chai or taking a stroll through narrow alleys while listening to the chants from temples surrounding the ghats. A delight for street-shopping lovers, Pushkar has shops in the main street selling everything from silver oxidised jewellery to merchandise swaddled in various colours. The Pushkar Mela attracts millions of visitors from around the world. With folk performances, rides, stalls and even magic shows, the entire town is lit up, music blares from every house, and everyone is in a festive mood. Pushkar has slowly evolved from a religious destination to a multi-cultural hotspot with travellers from all over the world.","Pushkar Lake, Varaha Temple, Pushkar Mela 2020, Savitri Temple, Mahadev Temple, Merta City"
Chittorgarh,Rajasthan    India,Oct-Mar,1 day," ₹ 8,500"," ""City of Pride and Honor"" "," The capital of the erstwhile kingdom of Mewar, Chittorgarh is a land of forts, citadels, ruins, and immortal folklore of sacrifice and heroism. Located in South-Eastern Rajasthan, Chittorgarh is known for Chittorgarh Fort, the largest fort in India built on a hilltop, spreading over an area of around 700 acres. The magnificent fortress will always be remembered for the courageous self-sacrificing Jauhar performed by Rani Padmini to thwart the conquest of the fort by Alauddin Khilji. Chittorgarh stands at the helm of Chattari Rajput pride and is remembered in the pages of history for its glorious battles, especially the siege of Alauddin Khilji. Once known for its grandeur and opulence, today, Chittorgarh has left its tales of bravery and betrayal far behind to catch up to commercialization.Rana Kumbha Palace is the largest structure in Chittorgarh fort, and while it is now a mere tumbledown structure of broken walls and piles of stones, it was once a magnificent three-storied palace with gigantic pillars, maze-like underground tunnels and intricately designed architecture. The most famous attraction in Chittorgarh fort is the Padmini Palace, named after Queen Padmini herself. Replete with roof pavilions and water moats, the story of Queen Padmini’s valour rings out loud in every corner of this dilapidated building. Other sights to visit in Chittorgarh include the Meera Temple, the Kalika Mata Temple, the Gau Mukh Kund, and the Bassi Wildlife Sanctuary.","Chittorgarh Fort, Padmini Palace, Kalika Mata Temple, Gau Mukh Kund, Maha Sati, Rana Kumbha's palace"
Nahan,Himachal Pradesh    India,Apr-Sep,1-2 days, 6 ,," Away from the buzzing crowd of the city, Nahan is a perfect romantic getaway. Lying among the lofty Shivalik range overlooking lush green fields, dirt free roads and clean streets, this small hill station serves as an ideal holiday destination. Nahan has its past spun around many tales and legends. Founded by Raja Karan Prakash in 1621 as a capital, it is believed that this town derives its name from a sage named Nahar who lived at the same site where this town stands today. As per another version, the town gets its name from an incident where the king who was trying to kill a lion was stopped by a saint named Baba Banwari Das who said Nahar meaning 'don't kill'. The quaint town today, is dotted with gardens, temples and a manmade lake. Visit Nahan, a cantonment town of Himachal for an unforgettable experience.","Renuka Lake, Suketi Fossil Park, Trekking in Nahan, Jaitak Fort, Churdhar Peak, Dhaula Kuan"
Lavasa,Maharashtra    India,Throughout the year,1 day, 81 ," ""India's first planned hill city"" "," Known as India's newest hill station, the Lavasa Corporation is constructing this private city. The city is a beautiful project, stylistically based on the Italian town Portofino. Spreading across 7 hills, covering an area of 25000 acres, Lavasa is a perfect blend of beauty and infrastructure. Lavasa is a privately planned hill city located near Pune in Maharashtra. This modern day hill station is an enjoyable retreat for all its visitors and has a lot to offer to its tourists from picturesque sceneries to an extremely well-developed infrastructure including hotels, resorts, educational institutes, malls, residential property, IT companies etc. Lavasa is turning out to be a new hangout for people looking for a small trip away from the hustle and bustle of hectic city life.   It is absolutely a leisure holiday destination located in the middle of lush green hills. Lavasa city is located in the Western Ghats of Maharashtra and manages to charm one with its mesmerising views. It is situated in Mose Valley near Pune at a distance of 65 Km, about an hour drive, and from Mumbai, it is approximately 200 Km away. Spread over 25,000 acres of land, it covers 65Km of lakefront that gives the whole city a mesmerising look.","Sightseeing in Lavasa, Lakeside Promenade, Bamboosa, Temghar Dam, Lakeshore Watersports"
Poovar,Kerala    India,Aug-Mar,1 day," ₹ 6,599",," Poovar is a small rustic town situated 27 kms from Thiruvananthapuram with unspoilt, unexplored golden sand beaches and beautiful backwaters of Kerala. Also known as a fishing village, the tranquil Poovar island lies between the Arabian Sea and the Neyyar River. Hiring a boat, (especially during the sunset)that will take you through the mangrove forest of backwaters is a must-do activity. The boat ride costs around INR 3000- INR 4000. The town has some of the beautiful resorts and hotels that are known for the hospitality they offer. Poovar beach is secluded and is only accessible by a boat. Swimming is allowed here throughout the year except for the monsoon months","Poovar Beach, Thirparappu Falls, Vizhinjam, Shopping in Poovar, The Fishing Village, Cruises"
Honnemaradu,Karnataka    India,"Oct-Dec, Mar-Apr",1 day," ₹ 1,163"," ""The Land of the Golden Sands"" "," Honnemaradu is a small cosy village, by the Honnemaradu Reservoir. The site is set in the middle of a valley and a weekend getaway to this place is nothing less than an adventure camp. The little village has very few people, and the only attraction is the water sports done at the Honnemaradu lake. Camping, canoeing or even just relaxing by the lake, Honnemaradu is perfect for a quick getaway. There are other attractions there as well like the Dabbe Falls and the famous Jog Falls are closeby.  ","The Honnemaradu Reservoir, Dabbe Falls, Rafting in Honnemaradu, Kayaking in Honnemaradu, Gademane, Sagar"
